CT5_LANPAD~CT5_SEQUEN~CT5_DESC~CT5_STATUS~CT5_DC~CT5_DEBITO~CT5_CREDIT~CT5_MOEDAS~CT5_VLR01~CT5_VLR02~CT5_VLR03~CT5_VLR04~CT5_VLR05~CT5_HIST~CT5_HAGLUT~CT5_CCD~CT5_CCC~CT5_ORIGEM~CT5_INTERC~CT5_ITEMD~CT5_ITEMC~CT5_CLVLDB~CT5_CLVLCR~CT5_TPSALD~CT5_SBLOTE~CT5_MLTSLD~CT5_CTRLSD~CT5_EC05DB~CT5_EC05CR~CT5_EC06DB~CT5_EC06CR
9BL~5~D.CANC B.APROPRI DESP ASSIST.(BD7)-PCC   ~1~1~1221390820001~~12222~U_PLCTB9BL('005')~~~~~U_PLCTBORH('9BL','005','H')~U_PLCTBORH('9BL','005','A')~~~U_PLCTBORH('9BL','005','O')~2~~~~~1~56~;1~2~~~~
9BL~6~C.CANC B.APROPRI DESP ASSIST.(BD7)-PCC   ~1~2~~1221390990001~12222~U_PLCTB9BL('006')~~~~~U_PLCTBORH('9BL','006','H')~U_PLCTBORH('9BL','006','A')~~~U_PLCTBORH('9BL','006','O')~2~~~~~1~56~;1~2~~~~
9BL~7~D.CANC B.APROPRI DESP ASSIST.(BD7)-INS   ~1~1~1221890810001~~12222~U_PLCTB9BL('007')~~~~~U_PLCTBORH('9BL','007','H')~U_PLCTBORH('9BL','007','A')~~~U_PLCTBORH('9BL','007','O')~2~~~~~1~56~;1~2~~~~
9BL~8~C.CANC B.APROPRI DESP ASSIST.(BD7)-INS   ~1~2~~1221890820001~12222~U_PLCTB9BL('008')~~~~~U_PLCTBORH('9BL','008','H')~U_PLCTBORH('9BL','008','A')~~~U_PLCTBORH('9BL','008','O')~2~~~~~1~56~;1~2~~~~
9BL~9~C.CANC B.APROP DESP ASSIST(BD7)-CRE-MTJR ~1~2~~1221890990001~12222~U_PLCTB9BL('009')~~~~~U_PLCTBORH('9BL','009','H')~U_PLCTBORH('9BL','009','A')~~~U_PLCTBORH('9BL','009','O')~2~~~~~1~56~;1~2~~~~
9BL~10~D.CANC B.APROP DESP ASSIST(BD7)-DEB-DC  ~1~1~1222190110001~~12222~U_PLCTB9BL('010')~~~~~U_PLCTBORH('9BL','010','H')~U_PLCTBORH('9BL','010','A')~~~U_PLCTBORH('9BL','010','O')~2~~~~~1~56~;1~2~~~~
9NB~1~D.APROPRIACAO DESP ASSIST.(BD7)-PAG      ~1~1~1222190120001~~12222~U_PLCTB9NB('001')~~~~~U_PLCTBORH('9NB','001','H')~U_PLCTBORH('9NB','001','A')~~~U_PLCTBORH('9NB','001','O')~2~~~~~1~57~;1~2~~~~
9NB~2~C.APROPRIACAO DESP ASSIST.(BD7)-PAG      ~1~2~~1222190210001~12222~U_PLCTB9NB('002')~~~~~U_PLCTBORH('9NB','002','H')~U_PLCTBORH('9NB','002','A')~~~U_PLCTBORH('9NB','002','O')~2~~~~~1~57~;1~2~~~~
9NB~3~D.APROPRIACAO DESP ASSIST.(BD7)-ISS      ~1~1~1222190220001~~12222~U_PLCTB9NB('003')~~~~~U_PLCTBORH('9NB','003','H')~U_PLCTBORH('9NB','003','A')~~~U_PLCTBORH('9NB','003','O')~2~~~~~1~57~;1~2~~~~
9NB~4~C.APROPRIACAO DESP ASSIST.(BD7)-ISS      ~1~2~~1222190810001~12222~U_PLCTB9NB('004')~~~~~U_PLCTBORH('9NB','004','H')~U_PLCTBORH('9NB','004','A')~~~U_PLCTBORH('9NB','004','O')~2~~~~~1~57~;1~2~~~~
