DE0_FILIAL,C,2,0;DE0_CODLAY,C,6,0;DE0_CODREG,C,6,0;DE0_STATUS,C,1,0;DE0_TAMREG,N,4,0;DE0_IDTREG,C,3,0;DE0_CODRCP,C,6,0;DE0_OCOREG,N,3,0;DE0_ALIAS,C,3,0;DE0_POSICI,C,1,0;DE0_POSORD,C,1,0;DE0_POSCHV,C,100,0;DE0_COND,C,254,0;DE0_VALID,C,254,0;DE0_NOMARQ,C,121,0;DE0_CTRTAM,C,1,0;DE0_CODQRY,C,6,0;DE0_CODRC2,C,6,0;DE0_CODRC3,C,6,0;DE0_CODRC4,C,6,0;DE0_CODRC5,C,6,0;DE0_CODRC6,C,6,0
;A500N;R504;1;1081;1;;;R04;1;1;SUBSTR(R02->CHAVE,1,19)+'504';SUBSTR(R02->CHAVE,1,19)==SUBSTR(R04->CHAVE,1,19) .and. SUBSTR(R04->CHAVE,20,3)=='504' .and. R04->(!EOF());;;2;;;;;;
;A500N;R505;1;151;;;;R05;1;1;SUBSTR(R02->CHAVE,1,19)+'505';SUBSTR(R02->CHAVE,1,19)==SUBSTR(R05->CHAVE,1,19) .and. SUBSTR(R05->CHAVE,20,3)=='505' .and. R05->(!EOF());;;;;;;;;
;A500N;R507;1;226;;R508;;R07;2;;;R07->(!EOF());;;;;;;;;
;A500N;R508;1;332;;;;R08;2;;;SUBSTR(R07->CHAVE,1,19)==SUBSTR(R08->CHAVE,1,19) .and.  R08->(!EOF());;;;;;;;;
;A500N;R509;1;76;;;;;2;;;;;;;;;;;;
;A550J;R551;1;262;;;;R51;2;;;R51->(!EOF());;;;;;;;;
;A550J;R552;1;652;;R553;;R52;2;;;R52->(!EOF());;;2;;;;;;
;A550J;R553;1;515;;;;R53;2;;;R53->(CHAVE)=R52->(CHAVE);;;;;;;;;
;A550J;R553A;1;515;;R557;;R5R;2;;;R5R->(!EOF());;;;;;;;;
;A550J;R557;1;173;;;;R57;2;;;R5R->(CHAVE)=R57->(CHAVE);;;;;;;;;
;A550J;R559;1;82;;;;R59;2;;;R59->(!EOF());;;;;;;;;
;A550J;R558;1;304;;;;R58;2;;;R58->(!EOF());;;;;;;;;
;A100F;R101;1;46;101;R102;;;2;0;;;;;;;;;;;
;A100F;R102;1;350;102;R103;;R02;2;;;R02->(!Eof());;;;;R104;;;;
;A100F;R103;1;116;103;;;R03;2;;;R03->(!Eof()) .and. R02->CODEMP == R03->CODEMP;;;;;;;;;
;A100F;R104;1;554;104;R105;;R04;2;;;R04->(!Eof()) .and. R02->CODEMP == R04->CODEMP;;;;;R107;R108;;;
;A100F;R105;1;22;105;;;R05;2;;;R05->(!Eof()) .and. R04->CODEMP == R05->CODEMP .and. R04->CODPLA == R05->CODPLA .and. R04->MATRIC == R05->MATRIC;;;;;;;;;
;A100F;R107;1;152;107;;;R07;2;;;R07->(!Eof()) .and. R04->CODEMP == R07->CODEMP .and. R04->CODPLA == R07->CODPLA .and. R04->MATRIC == R07->MATRIC;;;;;;;;;
;A100F;R108;1;23;108;;;R08;2;;;R08->(!Eof()) .and. R04->CODEMP == R08->CODEMP .and. R04->CODPLA == R08->CODPLA .and. R04->MATRIC == R08->MATRIC;;;;;;;;;
;A100F;R109;1;82;109;;;R09;2;;;R09->(!Eof());;;;;;;;;
;A200C;R201;1;48;201;R202;;;2;0;;;;;;;;;;;
;A200C;R202;1;62;202;;;R02;2;;;R02->(!Eof());;;;;;;;;
;A200C;R209;1;53;209;;;;2;;;;;;;;;;;;
;A500O;R501;1;240;;R502;;;2;;;;;;;;R507;;;;
;A500O;R502;1;690;;R503;;R02;2;;;R02->(!EOF());;;;;R504;R505;;;
;A500O;R503;1;579;;;;R03;1;1;SUBSTR(R02->CHAVE,1,19)+'503';SUBSTR(R02->CHAVE,1,19)==SUBSTR(R03->CHAVE,1,19) .and. SUBSTR(R03->CHAVE,20,3)=='503' .and. R03->(!EOF());R03->R503<>Space(242);;;;;;;;
;A500O;R504;1;1082;1;;;R04;1;1;SUBSTR(R02->CHAVE,1,19)+'504';SUBSTR(R02->CHAVE,1,19)==SUBSTR(R04->CHAVE,1,19) .and. SUBSTR(R04->CHAVE,20,3)=='504' .and. R04->(!EOF());;;2;;;;;;
;A500O;R505;1;151;;;;R05;1;1;SUBSTR(R02->CHAVE,1,19)+'505';SUBSTR(R02->CHAVE,1,19)==SUBSTR(R05->CHAVE,1,19) .and. SUBSTR(R05->CHAVE,20,3)=='505' .and. R05->(!EOF());;;;;;;;;
;A500O;R506;1;999;;;;R06;2;;;R06->(!EOF());;;;;;;;;
;A500O;R507;1;227;;R508;;R07;2;;;R07->(!EOF());;;;;;;;;
;A500O;R508;1;332;;;;R08;2;;;SUBSTR(R07->CHAVE,1,19)==SUBSTR(R08->CHAVE,1,19) .and.  R08->(!EOF());;;;;;;;;
;A500O;R509;1;76;;;;;2;;;;;;;;;;;;
;A1300D;R301;1;46;;;;;2;;;;;;;;;;;;
;A1300D;R302;1;405;;R303;;R02;2;;;R02->(!Eof());;;;;;;;;
;A1300D;R303;1;400;;R305;;R03;2;;R03->CHAVE;R02->CHAVE == SUBSTR(R03->CHAVE,1,len(R02->CHAVE))  .and. R03->(!EOF());;;;;R311;;;;
